itemLabel,positionLabel
Hon. Dickon Mitchell,Prime Minister of Grenada
Hon. Dickon Mitchell,Minister for Finance
Hon. Dickon Mitchell,"Minister for National Security, Home Affairs, Public Administration, Information and Disaster Management"
Hon. Lennox J. Andrews,"Minister for Economic Development, Planning, Tourism and ICT, Creative Economy, Agriculture and Lands, Fisheries and Cooperatives with responsibility for Economic Development, Planning, Tourism, ICT and Creative Economy"
Senator the Hon. Adrain A. Thomas,"Minister of State with responsibility for Agriculture and Lands, Fisheries & Cooperatives"
Hon. Joseph Andall,"Minister for Foreign Affairs, Trade and Export Development"
Hon. Dennis Cornwall,"Minister for Infrastructure and Physical Development, Public Utilities, Civil Aviation and Transportation"
Hon. Tevin Andrews,Minister for Carriacou and Petite Martinique Affairs and Local Government
Hon. Philip A. Telesford,"Minister for Social and Community Development, Housing and Gender Affairs with responsibility for Community Development and Housing"
Senator the Hon. Gloria A. Thomas,Minister of State with responsibility for Social Development and Gender Affairs
Hon. Andy Williams,"Minister for Mobilisation, Implementation and Transformation"
Hon. Kerryne Z. James,"Minister for Climate Resilience, the Environment and Renewable Energy"
Senator the Hon. David E. Andrew,"Minister for Education, Youth, Sports and Culture with responsibility for Education"
Hon. Ron L. Redhead,"Minister of State with responsibility for Youth, Sports and Culture"
Senator the Hon. Claudette Joseph,Attorney General of Grenada
Senator the Hon. Claudette Joseph,"Minister for Legal Affairs, Labour and Consumer Affairs"
Senator the Hon. Gayton J. LaCrette,"Minister for Health, Wellness and Religious Affairs"
