item,itemLabel,startDate,endDate,sourceDate,psid
Q108426378,Mark Isaac,1998,2000,,Q108426378-B714FED0-37E5-4D82-8AC5-1C15516FFB9E
Q58224,Elvin Nimrod,2000,2008,2022-10-20,Q58224-38C7E7A9-FA8C-4605-AD22-96F21EC3FD6B
Q58231,Peter David,2008-07-13,2010-11-26,,Q58231-62EC1B0C-E110-4D29-BBBC-18EFE520BFBA
Q6371912,Karl Hood,2010-11-26,2012-05-18,,Q6371912-152ACDB6-2F02-48DA-A4C3-069287AE5FED
Q57796,Tillman Thomas,2012,2013,2022-10-20,Q57796-BD257CFD-868E-4F5F-BF85-3068FD83712E
Q40027841,Nickolas Steele,2013,2014,2022-10-20,Q40027841-19224C4E-E58C-4F48-BA05-2113F696675F
Q5126938,Clarice Modeste-Curwen,2014,2016,2022-10-20,Q5126938-EF5C1101-7CA2-4DCD-8207-AF9E67E2F030
Q58224,Elvin Nimrod,2016,2018,2022-10-20,Q58224-0F2CCAEA-4E87-4A51-94BF-DB1FD4864528
Q58231,Peter David,2018-03-25,2020,,Q58231-96C03803-90B1-4C89-8171-459CEA045251
Q114773762,Oliver Joseph,2020,2022,2022-10-20,Q114773762-2E5961D6-3FD2-475F-B3D6-8699E129D578
Q113555132,Joseph Andall,2022-07-01,,2022-10-20,Q113555132-8fbe4f71-4555-05a4-a167-4acf3499c001
